cap_mw,mw_bought,mw_bought_per_pbat,feasible,revenue_eur,loss_frac,loss_eur_mw_y,peak_grid_mw,zone,duration_h,profile,peak_per_pbat,ceiling_eur,hours
5.25,-0.25,-0.25,True,85807.13813373008,0.4155867754381717,61019.002219382455,5.25,DE-LU,4.0,flat,5.0,146826.14035311254,8760
5.0,0.0,0.0,True,0.0,1.0,146826.14035311254,5.0,DE-LU,4.0,flat,5.0,146826.14035311254,8760
4.9,0.0999999999999996,0.0999999999999996,False,,,,,DE-LU,4.0,flat,5.0,146826.14035311254,8760
4.8,0.2000000000000001,0.2000000000000001,False,,,,,DE-LU,4.0,flat,5.0,146826.14035311254,8760
4.7,0.2999999999999998,0.2999999999999998,False,,,,,DE-LU,4.0,flat,5.0,146826.14035311254,8760
4.6,0.4000000000000003,0.4000000000000003,False,,,,,DE-LU,4.0,flat,5.0,146826.14035311254,8760
4.5,0.5,0.5,False,,,,,DE-LU,4.0,flat,5.0,146826.14035311254,8760
4.4,0.5999999999999996,0.5999999999999996,False,,,,,DE-LU,4.0,flat,5.0,146826.14035311254,8760
4.3,0.7000000000000002,0.7000000000000002,False,,,,,DE-LU,4.0,flat,5.0,146826.14035311254,8760
4.2,0.7999999999999998,0.7999999999999998,False,,,,,DE-LU,4.0,flat,5.0,146826.14035311254,8760
4.1,0.9000000000000004,0.9000000000000004,False,,,,,DE-LU,4.0,flat,5.0,146826.14035311254,8760
4.0,1.0,1.0,False,,,,,DE-LU,4.0,flat,5.0,146826.14035311254,8760
3.0,-1.0,-1.0,True,146826.14035311254,0.0,0.0,3.0,DE-LU,4.0,flat,2.0,146826.14035311254,8760
2.75,-0.75,-0.75,True,139606.9316985497,0.0491684153598319,7219.208654562826,2.75,DE-LU,4.0,flat,2.0,146826.14035311254,8760
2.5,-0.5,-0.5,True,122480.45227373549,0.165813035886024,24345.688079377054,2.5,DE-LU,4.0,flat,2.0,146826.14035311254,8760
2.25,-0.25,-0.25,True,85807.13813373008,0.4155867754381717,61019.002219382455,2.25,DE-LU,4.0,flat,2.0,146826.14035311254,8760
2.0,0.0,0.0,True,0.0,1.0,146826.14035311254,2.0,DE-LU,4.0,flat,2.0,146826.14035311254,8760
1.9,0.1,0.1,False,,,,,DE-LU,4.0,flat,2.0,146826.14035311254,8760
1.8,0.1999999999999999,0.1999999999999999,False,,,,,DE-LU,4.0,flat,2.0,146826.14035311254,8760
1.7,0.3,0.3,False,,,,,DE-LU,4.0,flat,2.0,146826.14035311254,8760
1.6,0.3999999999999999,0.3999999999999999,False,,,,,DE-LU,4.0,flat,2.0,146826.14035311254,8760
1.5,0.5,0.5,False,,,,,DE-LU,4.0,flat,2.0,146826.14035311254,8760
1.4,0.6000000000000001,0.6000000000000001,False,,,,,DE-LU,4.0,flat,2.0,146826.14035311254,8760
1.3,0.7,0.7,False,,,,,DE-LU,4.0,flat,2.0,146826.14035311254,8760
1.2,0.8,0.8,False,,,,,DE-LU,4.0,flat,2.0,146826.14035311254,8760
1.1,0.8999999999999999,0.8999999999999999,False,,,,,DE-LU,4.0,flat,2.0,146826.14035311254,8760
1.0,1.0,1.0,False,,,,,DE-LU,4.0,flat,2.0,146826.14035311254,8760
11.0,-1.0,-1.0,True,146826.14035311254,0.0,0.0,11.0,DE-LU,4.0,flat,10.0,146826.14035311254,8760
10.75,-0.75,-0.75,True,139606.9316985497,0.0491684153598319,7219.208654562826,10.75,DE-LU,4.0,flat,10.0,146826.14035311254,8760
10.5,-0.5,-0.5,True,122480.45227373549,0.165813035886024,24345.688079377054,10.5,DE-LU,4.0,flat,10.0,146826.14035311254,8760
10.25,-0.25,-0.25,True,85807.13813373008,0.4155867754381717,61019.002219382455,10.25,DE-LU,4.0,flat,10.0,146826.14035311254,8760
10.0,0.0,0.0,True,0.0,1.0,146826.14035311254,10.0,DE-LU,4.0,flat,10.0,146826.14035311254,8760
9.9,0.0999999999999996,0.0999999999999996,False,,,,,DE-LU,4.0,flat,10.0,146826.14035311254,8760
9.8,0.1999999999999993,0.1999999999999993,False,,,,,DE-LU,4.0,flat,10.0,146826.14035311254,8760
9.7,0.3000000000000007,0.3000000000000007,False,,,,,DE-LU,4.0,flat,10.0,146826.14035311254,8760
9.6,0.4000000000000003,0.4000000000000003,False,,,,,DE-LU,4.0,flat,10.0,146826.14035311254,8760
9.5,0.5,0.5,False,,,,,DE-LU,4.0,flat,10.0,146826.14035311254,8760
9.4,0.5999999999999996,0.5999999999999996,False,,,,,DE-LU,4.0,flat,10.0,146826.14035311254,8760
9.3,0.6999999999999993,0.6999999999999993,False,,,,,DE-LU,4.0,flat,10.0,146826.14035311254,8760
9.2,0.8000000000000007,0.8000000000000007,False,,,,,DE-LU,4.0,flat,10.0,146826.14035311254,8760
9.1,0.9000000000000004,0.9000000000000004,False,,,,,DE-LU,4.0,flat,10.0,146826.14035311254,8760
9.0,1.0,1.0,False,,,,,DE-LU,4.0,flat,10.0,146826.14035311254,8760
5.9999881075537305,-1.0,-1.0,True,146826.14035311254,0.0,0.0,5.999120709384022,DE-LU,4.0,cooling,5.0,146826.14035311254,8760
5.7499881075537305,-0.75,-0.75,True,146260.86535703027,0.0038499615580903,565.2749960822694,5.7499881075537305,DE-LU,4.0,cooling,5.0,146826.14035311254,8760
5.4999881075537305,-0.5,-0.5,True,143091.49730807927,0.0254358184179708,3734.64304503327,5.4999881075537305,DE-LU,4.0,cooling,5.0,146826.14035311254,8760
5.2499881075537305,-0.25,-0.25,True,133511.53036843913,0.0906828304050775,13314.609984673414,5.2499881075537305,DE-LU,4.0,cooling,5.0,146826.14035311254,8760
4.9999881075537305,0.0,0.0,True,111852.95157279514,0.2381945660098938,34973.1887803174,4.9999881075537305,DE-LU,4.0,cooling,5.0,146826.14035311254,8760
4.899988107553731,0.0999999999999996,0.0999999999999996,True,99241.10211972494,0.3240910516270944,47585.0382333876,4.899988107553731,DE-LU,4.0,cooling,5.0,146826.14035311254,8760
4.79998810755373,0.2000000000000001,0.2000000000000001,True,84095.82759908897,0.4272421287051408,62730.31275402357,4.79998810755373,DE-LU,4.0,cooling,5.0,146826.14035311254,8760
4.699988107553731,0.2999999999999998,0.2999999999999998,True,66339.04963350264,0.548179571607895,80487.0907196099,4.699988107553731,DE-LU,4.0,cooling,5.0,146826.14035311254,8760
4.59998810755373,0.4000000000000003,0.4000000000000003,True,44599.8304803462,0.6962405306501627,102226.30987276636,4.59998810755373,DE-LU,4.0,cooling,5.0,146826.14035311254,8760
